symbol,date,price
META,8/10/2022,178.34
META,8/9/2022,168.53
META,8/8/2022,170.25
META,8/5/2022,167.11
META,8/4/2022,170.57
META,8/3/2022,168.8
META,8/2/2022,160.19
META,8/1/2022,159.93
META,7/29/2022,159.1
META,7/28/2022,160.72
META,7/27/2022,169.58
META,7/26/2022,159.15
META,7/25/2022,166.65
META,7/22/2022,169.27
META,7/21/2022,183.17
META,7/20/2022,183.09
META,7/19/2022,175.78
META,7/18/2022,167.23
META,7/15/2022,164.7
META,7/14/2022,158.05
META,7/13/2022,163.49
META,7/12/2022,163.27
META,7/11/2022,162.88
META,7/8/2022,170.88
META,7/7/2022,172.19
META,7/6/2022,169.77
META,7/5/2022,168.19
META,7/1/2022,160.03
META,6/30/2022,161.25
META,6/29/2022,163.94
META,6/28/2022,160.68
META,6/27/2022,169.49
META,6/24/2022,170.16
META,6/23/2022,158.75
META,6/22/2022,155.85
META,6/21/2022,157.05
META,6/17/2022,163.74
META,6/16/2022,160.87
META,6/15/2022,169.35
META,6/14/2022,163.73
META,6/13/2022,164.26
META,6/10/2022,175.57
META,6/9/2022,184
META,6/8/2022,196.64
META,6/7/2022,195.65
META,6/6/2022,194.25
META,6/3/2022,190.78
META,6/2/2022,198.86
META,6/1/2022,188.64
META,5/31/2022,193.64
META,5/27/2022,195.13
META,5/26/2022,191.63
META,5/25/2022,183.83
META,5/24/2022,181.28
META,5/23/2022,196.23
META,5/20/2022,193.54
META,5/19/2022,191.29
META,5/18/2022,192.24
META,5/17/2022,202.62
META,5/16/2022,200.04
META,5/13/2022,198.62
META,5/12/2022,191.24
META,5/11/2022,188.74
META,5/10/2022,197.65
META,5/9/2022,196.21
META,5/6/2022,203.77
META,5/5/2022,208.28
META,5/4/2022,223.41
META,5/3/2022,212.03
META,5/2/2022,211.13
META,4/29/2022,200.47
META,4/28/2022,205.73
META,4/27/2022,174.95
META,4/26/2022,180.95
META,4/25/2022,186.99
META,4/22/2022,184.11
META,4/21/2022,188.07
META,4/20/2022,200.42
META,4/19/2022,217.31
META,4/18/2022,210.77
META,4/14/2022,210.18
META,4/13/2022,214.99
META,4/12/2022,214.14
META,4/11/2022,216.46
META,4/8/2022,222.33
META,4/7/2022,222.95
META,4/6/2022,223.3
META,4/5/2022,231.84
META,4/4/2022,233.89
META,4/1/2022,224.85
META,3/31/2022,222.36
META,3/30/2022,227.85
META,3/29/2022,229.86
META,3/28/2022,223.59
META,3/25/2022,221.82
META,3/24/2022,219.57
META,3/23/2022,213.46
META,3/22/2022,216.65
META,3/21/2022,211.49
META,3/18/2022,216.49
META,3/17/2022,207.84
META,3/16/2022,203.63
META,3/15/2022,192.03
META,3/14/2022,186.63
META,3/11/2022,187.61
META,3/10/2022,195.21
META,3/9/2022,198.5
META,3/8/2022,190.29
META,3/7/2022,187.47
META,3/4/2022,200.06
META,3/3/2022,202.97
META,3/2/2022,208.11
META,3/1/2022,203.49
META,2/28/2022,211.03
META,2/25/2022,210.48
META,2/24/2022,207.6
META,2/23/2022,198.45
META,2/22/2022,202.08
META,2/18/2022,206.16
META,2/17/2022,207.71
META,2/16/2022,216.54
META,2/15/2022,221
META,2/14/2022,217.7
META,2/11/2022,219.55
META,2/10/2022,228.07
META,2/9/2022,232
META,2/8/2022,220.18
META,2/7/2022,224.91
META,2/4/2022,237.09
META,2/3/2022,237.76
META,2/2/2022,323
META,2/1/2022,319
META,1/31/2022,313.26
META,1/28/2022,301.71
META,1/27/2022,294.64
META,1/26/2022,294.63
META,1/25/2022,300.15
META,1/24/2022,308.71
META,1/21/2022,303.17
META,1/20/2022,316.56
META,1/19/2022,319.59
META,1/18/2022,318.15
META,1/14/2022,331.9
META,1/13/2022,326.48
META,1/12/2022,333.26
META,1/11/2022,334.37
META,1/10/2022,328.07
META,1/7/2022,331.79
META,1/6/2022,332.46
META,1/5/2022,324.17
META,1/4/2022,336.53
META,1/3/2022,338.54
